UnderGraduates of year 2025:
  1. NAME: Rania Aridi     | ID: 20250081 | ACCEPTANCE YEAR: 2001 | FACULTY: arts and sciences | MAJOR: sociology                | YEARS TILL GRAD: 0 | DID GRADUATE: true
 38. NAME: Hiba Mounir     | ID: 20250035 | ACCEPTANCE YEAR: 2023 | FACULTY: health sciences   | MAJOR: biomedical sciences      | YEARS TILL GRAD: 1 | DID GRADUATE: false
 39. NAME: Maya Najm       | ID: 20250007 | ACCEPTANCE YEAR: 2025 | FACULTY: arts and sciences | MAJOR: physics                  | YEARS TILL GRAD: 3 | DID GRADUATE: false
 40. NAME: Ziad Nasr       | ID: 20250049 | ACCEPTANCE YEAR: 2024 | FACULTY: arts and sciences | MAJOR: computer science         | YEARS TILL GRAD: 2 | DID GRADUATE: false
 41. NAME: Adam Rami       | ID: 20250021 | ACCEPTANCE YEAR: 2022 | FACULTY: arts and sciences | MAJOR: sociology                | YEARS TILL GRAD: 0 | DID GRADUATE: false
 42. NAME: Nour Rami       | ID: 20250099 | ACCEPTANCE YEAR: 2024 | FACULTY: arts and sciences | MAJOR: accounting               | YEARS TILL GRAD: 2 | DID GRADUATE: false
 43. NAME: Karim Saab      | ID: 20250087 | ACCEPTANCE YEAR: 2023 | FACULTY: arts and sciences | MAJOR: biology                  | YEARS TILL GRAD: 1 | DID GRADUATE: false
 44. NAME: Sarah Saade     | ID: 20250031 | ACCEPTANCE YEAR: 2023 | FACULTY: arts and sciences | MAJOR: psychology               | YEARS TILL GRAD: 1 | DID GRADUATE: false
 45. NAME: Leila Sabeh     | ID: 20250057 | ACCEPTANCE YEAR: 2025 | FACULTY: engineering       | MAJOR: architecture             | YEARS TILL GRAD: 5 | DID GRADUATE: false
 46. NAME: Yara Sader      | ID: 20250077 | ACCEPTANCE YEAR: 2024 | FACULTY: engineering       | MAJOR: computer engineering     | YEARS TILL GRAD: 4 | DID GRADUATE: false
 47. NAME: Omar Sleiman    | ID: 20250083 | ACCEPTANCE YEAR: 2025 | FACULTY: arts and sciences | MAJOR: political science        | YEARS TILL GRAD: 3 | DID GRADUATE: false
 48. NAME: Lara Tohme      | ID: 20250091 | ACCEPTANCE YEAR: 2023 | FACULTY: arts and sciences | MAJOR: graphic design           | YEARS TILL GRAD: 1 | DID GRADUATE: false
 49. NAME: Nour Youssef    | ID: 20250029 | ACCEPTANCE YEAR: 2024 | FACULTY: engineering       | MAJOR: software engineering     | YEARS TILL GRAD: 4 | DID GRADUATE: false
 50. NAME: Nadine Zein     | ID: 20250085 | ACCEPTANCE YEAR: 2024 | FACULTY: arts and sciences | MAJOR: environmental sciences   | YEARS TILL GRAD: 2 | DID GRADUATE: false
